payment_id,order_id,payment_method,payment_status
PAY000122,ORD000122,Wallet,Failed
PAY000123,ORD000123,Credit Card,Success
PAY000124,ORD000124,Wallet,Success
PAY000125,ORD000125,Wallet,Success
PAY000126,ORD000126,Cash,Success
PAY000127,ORD000127,Wallet,Success
PAY000128,ORD000128,Cash,Failed
PAY000129,ORD000129,Cash,Failed
PAY000130,ORD000130,Cash,Success
PAY000131,ORD000131,Cash,Success
PAY000132,ORD000132,Wallet,Refunded
PAY000133,ORD000133,Cash,Refunded
PAY000134,ORD000134,UPI,Success
PAY000135,ORD000135,Wallet,Refunded
PAY000136,ORD000136,Debit Card,Success
PAY000137,ORD000137,Debit Card,Failed
PAY000138,ORD000138,UPI,Success
PAY000139,ORD000139,UPI,Success
PAY000140,ORD000140,Cash,Success
PAY000141,ORD000141,Debit Card,Success
PAY000142,ORD000142,Wallet,Success
PAY000143,ORD000143,Wallet,Success
PAY000144,ORD000144,UPI,Success
PAY000145,ORD000145,Cash,Refunded
PAY000146,ORD000146,Credit Card,Refunded
PAY000147,ORD000147,Debit Card,Success
PAY000148,ORD000148,Cash,Success
PAY000149,ORD000149,UPI,Success
PAY000150,ORD000150,Cash,Success
PAY000151,ORD000151,UPI,Success
PAY000152,ORD000152,Wallet,Success
PAY000153,ORD000153,Credit Card,Success
PAY000154,ORD000154,Credit Card,Success
PAY000155,ORD000155,Debit Card,Success
PAY000156,ORD000156,UPI,Success
PAY000157,ORD000157,Wallet,Success
PAY000158,ORD000158,Cash,Success
PAY000159,ORD000159,Wallet,Success
PAY000160,ORD000160,Cash,Success
PAY000161,ORD000161,Wallet,Success
PAY000162,ORD000162,Debit Card,Success
PAY000163,ORD000163,Debit Card,Success
PAY000164,ORD000164,Debit Card,Success
PAY000165,ORD000165,Wallet,Success
PAY000166,ORD000166,Credit Card,Success
PAY000167,ORD000167,Debit Card,Success
PAY000168,ORD000168,UPI,Success
PAY000169,ORD000169,UPI,Success
PAY000170,ORD000170,UPI,Success
PAY000171,ORD000171,Wallet,Success
PAY000172,ORD000172,Credit Card,Refunded
PAY000173,ORD000173,Wallet,Success
PAY000174,ORD000174,UPI,Success
PAY000175,ORD000175,UPI,Success
PAY000176,ORD000176,Wallet,Success
PAY000177,ORD000177,Cash,Success
PAY000178,ORD000178,Credit Card,Success
PAY000179,ORD000179,Cash,Success
PAY000180,ORD000180,Credit Card,Success
PAY000181,ORD000181,Cash,Success
PAY000182,ORD000182,UPI,Success
PAY000183,ORD000183,Credit Card,Success
PAY000184,ORD000184,UPI,Success
PAY000185,ORD000185,Debit Card,Success
PAY000186,ORD000186,Debit Card,Refunded
PAY000187,ORD000187,Cash,Success
PAY000188,ORD000188,Wallet,Success
PAY000189,ORD000189,Cash,Success
PAY000190,ORD000190,UPI,Success
PAY000191,ORD000191,Credit Card,Success
PAY000192,ORD000192,Wallet,Success
PAY000193,ORD000193,Cash,Success
PAY000194,ORD000194,Credit Card,Failed
PAY000195,ORD000195,Cash,Success
PAY000196,ORD000196,UPI,Success
PAY000197,ORD000197,UPI,Success
PAY000198,ORD000198,Cash,Success
PAY000199,ORD000199,Cash,Failed
PAY000200,ORD000200,Credit Card,Success
PAY000201,ORD000201,Debit Card,Success
PAY000202,ORD000202,Debit Card,Success
PAY000203,ORD000203,Wallet,Failed
PAY000204,ORD000204,Debit Card,Success
PAY000205,ORD000205,Debit Card,Success
PAY000206,ORD000206,Cash,Success
PAY000207,ORD000207,Wallet,Success
PAY000208,ORD000208,Wallet,Success
PAY000209,ORD000209,Debit Card,Failed
PAY000210,ORD000210,UPI,Failed
PAY000211,ORD000211,Credit Card,Success
PAY000212,ORD000212,Cash,Success
PAY000213,ORD000213,UPI,Success
PAY000214,ORD000214,UPI,Refunded
PAY000215,ORD000215,Credit Card,Success
PAY000216,ORD000216,UPI,Success
PAY000217,ORD000217,UPI,Success
PAY000218,ORD000218,UPI,Refunded
PAY000219,ORD000219,Cash,Success
PAY000220,ORD000220,Debit Card,Success
PAY000221,ORD000221,Wallet,Success
PAY000222,ORD000222,Cash,Success
PAY000223,ORD000223,Debit Card,Success
PAY000224,ORD000224,Debit Card,Success
PAY000225,ORD000225,Wallet,Success
PAY000226,ORD000226,UPI,Success
PAY000227,ORD000227,Credit Card,Success
PAY000228,ORD000228,UPI,Success
PAY000229,ORD000229,Credit Card,Success
PAY000230,ORD000230,Cash,Success
PAY000231,ORD000231,Cash,Success
PAY000232,ORD000232,Debit Card,Success
PAY000233,ORD000233,Cash,Refunded
PAY000234,ORD000234,Credit Card,Success
PAY000235,ORD000235,Debit Card,Failed
PAY000236,ORD000236,Debit Card,Refunded
PAY000237,ORD000237,Cash,Success
PAY000238,ORD000238,UPI,Success
PAY000239,ORD000239,UPI,Success
PAY000240,ORD000240,Wallet,Success
PAY000241,ORD000241,Debit Card,Success
PAY000242,ORD000242,UPI,Success
PAY000243,ORD000243,Debit Card,Success
PAY000244,ORD000244,Debit Card,Success
PAY000245,ORD000245,Cash,Refunded
PAY000246,ORD000246,Cash,Success
PAY000247,ORD000247,UPI,Failed
PAY000248,ORD000248,Credit Card,Refunded
PAY000249,ORD000249,Cash,Refunded
PAY000250,ORD000250,Credit Card,Success
PAY000251,ORD000251,Cash,Refunded
PAY000252,ORD000252,Debit Card,Success
PAY000253,ORD000253,Cash,Success
PAY000254,ORD000254,Credit Card,Success
PAY000255,ORD000255,Wallet,Success
PAY000256,ORD000256,Debit Card,Failed
PAY000257,ORD000257,Cash,Success
PAY000258,ORD000258,UPI,Success
PAY000259,ORD000259,Cash,Success
PAY000260,ORD000260,Credit Card,Success
PAY000261,ORD000261,Cash,Success
PAY000262,ORD000262,UPI,Success
PAY000263,ORD000263,Cash,Refunded
PAY000264,ORD000264,Debit Card,Success
PAY000265,ORD000265,Cash,Success
PAY000266,ORD000266,Credit Card,Success
PAY000267,ORD000267,UPI,Success
PAY000268,ORD000268,Cash,Success
PAY000269,ORD000269,Credit Card,Success
PAY000270,ORD000270,Wallet,Success
PAY000271,ORD000271,UPI,Success
PAY000272,ORD000272,Wallet,Success
PAY000273,ORD000273,Credit Card,Success
PAY000274,ORD000274,Wallet,Success
PAY000275,ORD000275,Debit Card,Success
PAY000276,ORD000276,Wallet,Failed
PAY000277,ORD000277,UPI,Success
PAY000278,ORD000278,Credit Card,Success
PAY000279,ORD000279,Credit Card,Failed
PAY000280,ORD000280,Credit Card,Refunded
PAY000281,ORD000281,Debit Card,Refunded
PAY000282,ORD000282,Cash,Success
PAY000283,ORD000283,Debit Card,Success
PAY000284,ORD000284,Cash,Success
PAY000285,ORD000285,UPI,Refunded
PAY000286,ORD000286,Credit Card,Success
PAY000287,ORD000287,Debit Card,Success
PAY000288,ORD000288,Wallet,Success
PAY000289,ORD000289,Wallet,Success
PAY000290,ORD000290,Wallet,Success
PAY000291,ORD000291,Credit Card,Failed
PAY000292,ORD000292,Cash,Success
PAY000293,ORD000293,Credit Card,Failed
PAY000294,ORD000294,Credit Card,Success
PAY000295,ORD000295,Wallet,Success
PAY000296,ORD000296,Cash,Success
PAY000297,ORD000297,Debit Card,Success
PAY000298,ORD000298,UPI,Success
PAY000299,ORD000299,Wallet,Success
PAY000300,ORD000300,UPI,Failed
PAY000301,ORD000301,Cash,Success
PAY000302,ORD000302,Credit Card,Success
PAY000303,ORD000303,Debit Card,Success
PAY000304,ORD000304,UPI,Success
PAY000305,ORD000305,Cash,Success
PAY000306,ORD000306,Wallet,Success
PAY000307,ORD000307,UPI,Success
PAY000308,ORD000308,Debit Card,Success
PAY000309,ORD000309,Cash,Success
PAY000310,ORD000310,UPI,Success
PAY000311,ORD000311,Debit Card,Success
PAY000312,ORD000312,Debit Card,Success
PAY000313,ORD000313,Cash,Success
PAY000314,ORD000314,Debit Card,Success
PAY000315,ORD000315,UPI,Success
PAY000316,ORD000316,Debit Card,Success
PAY000317,ORD000317,Credit Card,Success
PAY000318,ORD000318,Wallet,Success
PAY000319,ORD000319,UPI,Success
PAY000320,ORD000320,Wallet,Success
PAY000321,ORD000321,UPI,Success
PAY000322,ORD000322,Debit Card,Success
PAY000323,ORD000323,Credit Card,Success
PAY000324,ORD000324,Cash,Success
PAY000325,ORD000325,Wallet,Success
PAY000326,ORD000326,Debit Card,Success
PAY000327,ORD000327,Debit Card,Success
PAY000328,ORD000328,Cash,Success
PAY000329,ORD000329,Credit Card,Success
PAY000330,ORD000330,Wallet,Success
PAY000331,ORD000331,UPI,Success
PAY000332,ORD000332,Wallet,Failed
PAY000333,ORD000333,Cash,Success
PAY000334,ORD000334,Wallet,Success
PAY000335,ORD000335,Wallet,Success
PAY000336,ORD000336,Cash,Success
PAY000337,ORD000337,UPI,Success
PAY000338,ORD000338,Cash,Success
PAY000339,ORD000339,Credit Card,Success
PAY000340,ORD000340,UPI,Success
PAY000341,ORD000341,Debit Card,Success
PAY000342,ORD000342,UPI,Success
PAY000343,ORD000343,UPI,Success
PAY000344,ORD000344,UPI,Success
PAY000345,ORD000345,UPI,Success
PAY000346,ORD000346,Wallet,Success
PAY000347,ORD000347,Debit Card,Refunded
PAY000348,ORD000348,Cash,Success
PAY000349,ORD000349,Cash,Success
PAY000350,ORD000350,Credit Card,Success
PAY000351,ORD000351,Cash,Success
PAY000352,ORD000352,Wallet,Success
PAY000353,ORD000353,Debit Card,Success
PAY000354,ORD000354,Cash,Refunded
PAY000355,ORD000355,Cash,Success
PAY000356,ORD000356,UPI,Success
PAY000357,ORD000357,UPI,Failed
PAY000358,ORD000358,Wallet,Success
PAY000359,ORD000359,UPI,Failed
PAY000360,ORD000360,Credit Card,Success
PAY000361,ORD000361,UPI,Success
PAY000362,ORD000362,Debit Card,Success
PAY000363,ORD000363,Cash,Success
PAY000364,ORD000364,UPI,Success
PAY000365,ORD000365,Wallet,Success
PAY000366,ORD000366,Credit Card,Success
PAY000367,ORD000367,Wallet,Success
PAY000368,ORD000368,Debit Card,Success
PAY000369,ORD000369,UPI,Success
PAY000370,ORD000370,Cash,Success
PAY000371,ORD000371,Credit Card,Refunded
PAY000372,ORD000372,Wallet,Success
PAY000373,ORD000373,Credit Card,Success
PAY000374,ORD000374,UPI,Success
PAY000375,ORD000375,Credit Card,Failed
PAY000376,ORD000376,Wallet,Refunded
PAY000377,ORD000377,UPI,Success
PAY000378,ORD000378,Debit Card,Failed
PAY000379,ORD000379,UPI,Success
PAY000380,ORD000380,Wallet,Success
PAY000381,ORD000381,Cash,Failed
PAY000382,ORD000382,Cash,Success
PAY000383,ORD000383,Debit Card,Success
PAY000384,ORD000384,Cash,Success
PAY000385,ORD000385,Credit Card,Success
PAY000386,ORD000386,Cash,Success
PAY000387,ORD000387,Debit Card,Success
PAY000388,ORD000388,Credit Card,Success
PAY000389,ORD000389,Debit Card,Success
PAY000390,ORD000390,Wallet,Success
PAY000391,ORD000391,Debit Card,Success
PAY000392,ORD000392,Cash,Success
PAY000393,ORD000393,Credit Card,Success
PAY000394,ORD000394,Cash,Failed
PAY000395,ORD000395,UPI,Success
PAY000396,ORD000396,UPI,Success
PAY000397,ORD000397,Debit Card,Success
PAY000398,ORD000398,Debit Card,Failed
PAY000399,ORD000399,Wallet,Success
PAY000400,ORD000400,Credit Card,Success
PAY000401,ORD000401,Cash,Success
PAY000402,ORD000402,Wallet,Success
PAY000403,ORD000403,Debit Card,Refunded
PAY000404,ORD000404,Credit Card,Success
PAY000405,ORD000405,Wallet,Success
PAY000406,ORD000406,Wallet,Success
PAY000407,ORD000407,Credit Card,Success
PAY000408,ORD000408,Debit Card,Success
PAY000409,ORD000409,Credit Card,Success
PAY000410,ORD000410,Credit Card,Success
PAY000411,ORD000411,Debit Card,Success
PAY000412,ORD000412,Debit Card,Failed
PAY000413,ORD000413,UPI,Success
PAY000414,ORD000414,Credit Card,Failed
PAY000415,ORD000415,UPI,Success
PAY000416,ORD000416,Wallet,Success
PAY000417,ORD000417,Credit Card,Success
PAY000418,ORD000418,Credit Card,Success
PAY000419,ORD000419,Cash,Failed
PAY000420,ORD000420,Wallet,Success
PAY000421,ORD000421,Credit Card,Success
PAY000422,ORD000422,UPI,Success
PAY000423,ORD000423,Debit Card,Failed
PAY000424,ORD000424,Debit Card,Success
PAY000425,ORD000425,UPI,Success
PAY000426,ORD000426,Cash,Failed
PAY000427,ORD000427,Debit Card,Failed
PAY000428,ORD000428,Debit Card,Success
PAY000429,ORD000429,Cash,Success
PAY000430,ORD000430,Credit Card,Success
PAY000431,ORD000431,Credit Card,Success
PAY000432,ORD000432,Credit Card,Success
PAY000433,ORD000433,Debit Card,Success
PAY000434,ORD000434,Debit Card,Success
PAY000435,ORD000435,Credit Card,Success
PAY000436,ORD000436,Wallet,Success
PAY000437,ORD000437,Cash,Success
PAY000438,ORD000438,Wallet,Failed
PAY000439,ORD000439,Credit Card,Success
PAY000440,ORD000440,Cash,Success
PAY000441,ORD000441,Wallet,Success
PAY000442,ORD000442,Wallet,Success
PAY000443,ORD000443,Cash,Success
PAY000444,ORD000444,Wallet,Success
PAY000445,ORD000445,Cash,Success
PAY000446,ORD000446,Credit Card,Success
PAY000447,ORD000447,Debit Card,Failed
PAY000448,ORD000448,Debit Card,Success
PAY000449,ORD000449,Credit Card,Success
PAY000450,ORD000450,Credit Card,Success
PAY000451,ORD000451,Credit Card,Success
PAY000452,ORD000452,UPI,Success
PAY000453,ORD000453,Wallet,Success
PAY000454,ORD000454,Wallet,Success
PAY000455,ORD000455,Debit Card,Failed
PAY000456,ORD000456,Wallet,Success
PAY000457,ORD000457,Credit Card,Success
PAY000458,ORD000458,Debit Card,Success
PAY000459,ORD000459,Wallet,Success
PAY000460,ORD000460,Credit Card,Success
PAY000461,ORD000461,Wallet,Success
PAY000462,ORD000462,Credit Card,Success
PAY000463,ORD000463,Debit Card,Success
PAY000464,ORD000464,Cash,Success
PAY000465,ORD000465,Wallet,Success
PAY000466,ORD000466,Credit Card,Success
PAY000467,ORD000467,Wallet,Failed
PAY000468,ORD000468,Debit Card,Failed
PAY000469,ORD000469,Cash,Success
PAY000470,ORD000470,Credit Card,Success
PAY000471,ORD000471,Credit Card,Refunded
PAY000472,ORD000472,Credit Card,Success
PAY000473,ORD000473,Cash,Success
PAY000474,ORD000474,Credit Card,Success
PAY000475,ORD000475,Debit Card,Success
PAY000476,ORD000476,Debit Card,Refunded
PAY000477,ORD000477,UPI,Success
PAY000478,ORD000478,Credit Card,Success
PAY000479,ORD000479,UPI,Success
PAY000480,ORD000480,UPI,Success
PAY000481,ORD000481,Cash,Success
PAY000482,ORD000482,Cash,Success
PAY000483,ORD000483,Cash,Success
PAY000484,ORD000484,UPI,Success
PAY000485,ORD000485,UPI,Success
PAY000486,ORD000486,Wallet,Success
PAY000487,ORD000487,Debit Card,Success
PAY000488,ORD000488,Credit Card,Success
PAY000489,ORD000489,Debit Card,Refunded
PAY000490,ORD000490,Wallet,Success
PAY000491,ORD000491,Wallet,Success
PAY000492,ORD000492,Wallet,Failed
PAY000493,ORD000493,Credit Card,Success
PAY000494,ORD000494,Debit Card,Success
PAY000495,ORD000495,Cash,Success
PAY000496,ORD000496,Wallet,Success
PAY000497,ORD000497,Cash,Failed
PAY000498,ORD000498,Debit Card,Refunded
PAY000499,ORD000499,UPI,Success
PAY000500,ORD000500,Debit Card,Success
PAY000501,ORD000501,UPI,Success
PAY000502,ORD000502,Wallet,Success
PAY000503,ORD000503,Cash,Success
PAY000504,ORD000504,UPI,Success
PAY000505,ORD000505,Wallet,Success
PAY000506,ORD000506,Wallet,Success
PAY000507,ORD000507,UPI,Success
PAY000508,ORD000508,UPI,Success
PAY000509,ORD000509,Debit Card,Success
PAY000510,ORD000510,Credit Card,Success
PAY000511,ORD000511,Cash,Success
PAY000512,ORD000512,Debit Card,Success
PAY000513,ORD000513,Credit Card,Success
PAY000514,ORD000514,UPI,Success
PAY000515,ORD000515,Cash,Success
PAY000516,ORD000516,UPI,Success
PAY000517,ORD000517,UPI,Success
PAY000518,ORD000518,Wallet,Success
PAY000519,ORD000519,UPI,Failed
PAY000520,ORD000520,Cash,Success
PAY000521,ORD000521,Debit Card,Success
PAY000522,ORD000522,Cash,Success
PAY000523,ORD000523,UPI,Success
PAY000524,ORD000524,Wallet,Success
PAY000525,ORD000525,Credit Card,Success
PAY000526,ORD000526,Cash,Refunded
PAY000527,ORD000527,Cash,Success
PAY000528,ORD000528,Credit Card,Success
PAY000529,ORD000529,Cash,Refunded
PAY000530,ORD000530,Cash,Success
PAY000531,ORD000531,Debit Card,Refunded
PAY000532,ORD000532,Credit Card,Success
PAY000533,ORD000533,Wallet,Failed
PAY000534,ORD000534,Credit Card,Success
PAY000535,ORD000535,Debit Card,Success
PAY000536,ORD000536,Credit Card,Success
PAY000537,ORD000537,Wallet,Refunded
PAY000538,ORD000538,UPI,Success
PAY000539,ORD000539,Debit Card,Failed
PAY000540,ORD000540,Credit Card,Failed
PAY000541,ORD000541,Cash,Success
PAY000542,ORD000542,Wallet,Success
PAY000543,ORD000543,UPI,Success
PAY000544,ORD000544,Cash,Success
PAY000545,ORD000545,UPI,Success
PAY000546,ORD000546,Credit Card,Success
PAY000547,ORD000547,UPI,Success
PAY000548,ORD000548,Credit Card,Success
PAY000549,ORD000549,Credit Card,Refunded
PAY000550,ORD000550,Credit Card,Success
PAY000551,ORD000551,Cash,Success
PAY000552,ORD000552,Wallet,Success
PAY000553,ORD000553,Debit Card,Failed
PAY000554,ORD000554,UPI,Refunded
PAY000555,ORD000555,Wallet,Success
PAY000556,ORD000556,Cash,Success
PAY000557,ORD000557,Wallet,Success
PAY000558,ORD000558,Credit Card,Success
PAY000559,ORD000559,Debit Card,Success
PAY000560,ORD000560,Credit Card,Success
PAY000561,ORD000561,Debit Card,Success
PAY000562,ORD000562,Cash,Success
PAY000563,ORD000563,Credit Card,Success
PAY000564,ORD000564,Cash,Refunded
PAY000565,ORD000565,UPI,Success
PAY000566,ORD000566,Credit Card,Success
PAY000567,ORD000567,Credit Card,Success
PAY000568,ORD000568,Debit Card,Success
PAY000569,ORD000569,UPI,Refunded
PAY000570,ORD000570,Wallet,Success
PAY000571,ORD000571,UPI,Success
PAY000572,ORD000572,Wallet,Success
PAY000573,ORD000573,Credit Card,Success
PAY000574,ORD000574,Cash,Success
PAY000575,ORD000575,UPI,Success
PAY000576,ORD000576,Cash,Success
PAY000577,ORD000577,Debit Card,Success
PAY000578,ORD000578,Wallet,Refunded
PAY000579,ORD000579,UPI,Failed
PAY000580,ORD000580,Debit Card,Refunded
PAY000581,ORD000581,Wallet,Success
PAY000582,ORD000582,Credit Card,Success
PAY000583,ORD000583,Debit Card,Success
PAY000584,ORD000584,Credit Card,Success
PAY000585,ORD000585,Cash,Success
PAY000586,ORD000586,Wallet,Success
PAY000587,ORD000587,Wallet,Failed
PAY000588,ORD000588,UPI,Success
PAY000589,ORD000589,Debit Card,Failed
PAY000590,ORD000590,UPI,Success
PAY000591,ORD000591,Wallet,Refunded
PAY000592,ORD000592,Cash,Success
PAY000593,ORD000593,Debit Card,Success
PAY000594,ORD000594,Credit Card,Success
PAY000595,ORD000595,Wallet,Success
PAY000596,ORD000596,Cash,Success
PAY000597,ORD000597,UPI,Success
PAY000598,ORD000598,Debit Card,Failed
PAY000599,ORD000599,Credit Card,Success
PAY000600,ORD000600,Debit Card,Success
PAY000601,ORD000601,Credit Card,Success
PAY000602,ORD000602,Wallet,Success
PAY000603,ORD000603,UPI,Failed
PAY000604,ORD000604,Cash,Success
PAY000605,ORD000605,UPI,Failed
PAY000606,ORD000606,Credit Card,Failed
PAY000607,ORD000607,Wallet,Success
PAY000608,ORD000608,Wallet,Success
PAY000609,ORD000609,Credit Card,Success
PAY000610,ORD000610,UPI,Success
PAY000611,ORD000611,Wallet,Refunded
PAY000612,ORD000612,Wallet,Success
PAY000613,ORD000613,UPI,Success
PAY000614,ORD000614,Wallet,Success
PAY000615,ORD000615,Debit Card,Failed
PAY000616,ORD000616,Credit Card,Failed
PAY000617,ORD000617,Wallet,Success
PAY000618,ORD000618,UPI,Success
PAY000619,ORD000619,Cash,Success
PAY000620,ORD000620,UPI,Success
PAY000621,ORD000621,UPI,Success
PAY000622,ORD000622,Debit Card,Success
PAY000623,ORD000623,UPI,Refunded
PAY000624,ORD000624,Credit Card,Success
PAY000625,ORD000625,Credit Card,Success
PAY000626,ORD000626,UPI,Success
PAY000627,ORD000627,Debit Card,Success
PAY000628,ORD000628,Wallet,Success
PAY000629,ORD000629,Wallet,Success
PAY000630,ORD000630,Wallet,Success
PAY000631,ORD000631,Wallet,Failed
PAY000632,ORD000632,Debit Card,Refunded
PAY000633,ORD000633,Cash,Success
PAY000634,ORD000634,Wallet,Success
PAY000635,ORD000635,Cash,Success
PAY000636,ORD000636,Cash,Success
PAY000637,ORD000637,UPI,Success
PAY000638,ORD000638,Debit Card,Refunded
PAY000639,ORD000639,Credit Card,Success
PAY000640,ORD000640,UPI,Success
PAY000641,ORD000641,UPI,Success
PAY000642,ORD000642,Wallet,Success
PAY000643,ORD000643,Debit Card,Success
PAY000644,ORD000644,UPI,Success
PAY000645,ORD000645,Cash,Failed
PAY000646,ORD000646,UPI,Success
PAY000647,ORD000647,Wallet,Success
PAY000648,ORD000648,Cash,Success
PAY000649,ORD000649,Wallet,Refunded
PAY000650,ORD000650,Cash,Success
PAY000651,ORD000651,Wallet,Success
PAY000652,ORD000652,Wallet,Success
PAY000653,ORD000653,Debit Card,Refunded
PAY000654,ORD000654,Credit Card,Success
PAY000655,ORD000655,UPI,Success
PAY000656,ORD000656,Credit Card,Failed
PAY000657,ORD000657,UPI,Success
PAY000658,ORD000658,Wallet,Success
PAY000659,ORD000659,Wallet,Success
PAY000660,ORD000660,Debit Card,Success
PAY000661,ORD000661,UPI,Success
PAY000662,ORD000662,Wallet,Success
PAY000663,ORD000663,Wallet,Success
PAY000664,ORD000664,Debit Card,Success
PAY000665,ORD000665,Credit Card,Success
PAY000666,ORD000666,Wallet,Success
PAY000667,ORD000667,Credit Card,Success
PAY000668,ORD000668,Cash,Success
PAY000669,ORD000669,Cash,Success
PAY000670,ORD000670,Credit Card,Success
PAY000671,ORD000671,UPI,Success
PAY000672,ORD000672,UPI,Success
PAY000673,ORD000673,UPI,Refunded
PAY000674,ORD000674,Debit Card,Success
PAY000675,ORD000675,Cash,Success
PAY000676,ORD000676,Cash,Success
PAY000677,ORD000677,UPI,Success
PAY000678,ORD000678,Cash,Success
PAY000679,ORD000679,Debit Card,Success
PAY000680,ORD000680,Wallet,Success
PAY000681,ORD000681,Cash,Success
PAY000682,ORD000682,Credit Card,Refunded
PAY000683,ORD000683,UPI,Success
PAY000684,ORD000684,Debit Card,Success
PAY000685,ORD000685,Debit Card,Success
PAY000686,ORD000686,Cash,Success
PAY000687,ORD000687,Wallet,Success
PAY000688,ORD000688,Debit Card,Failed
PAY000689,ORD000689,Debit Card,Success
