review_id,order_id,customer_id,restaurant_id,rating,review_text
REV00062,ORD007967,CUST00257,REST0134,2,Not satisfied
REV00063,ORD006078,CUST00621,REST0295,5,Not satisfied
REV00064,ORD000108,CUST00588,REST0085,5,Worth the money
REV00065,ORD001316,CUST02384,REST0086,1,Excellent taste
REV00066,ORD008188,CUST00449,REST0088,3,Very late delivery
REV00067,ORD002754,CUST02340,REST0101,2,Average experience
REV00068,ORD009754,CUST01588,REST0011,2,Loved it
REV00069,ORD006232,CUST01777,REST0211,2,Not satisfied
REV00070,ORD002877,CUST01820,REST0217,1,Worth the money
REV00071,ORD005324,CUST01170,REST0085,4,Very late delivery
REV00072,ORD000800,CUST02276,REST0048,4,Would order again
REV00073,ORD003571,CUST00156,REST0245,2,Very late delivery
REV00074,ORD002895,CUST00751,REST0256,4,Not satisfied
REV00075,ORD002928,CUST00093,REST0160,3,Loved it
REV00076,ORD008179,CUST02031,REST0130,1,Amazing food
REV00077,ORD000972,CUST01362,REST0012,4,Loved it
REV00078,ORD006688,CUST01487,REST0230,3,Very late delivery
REV00079,ORD008576,CUST00763,REST0004,1,Delivery was delayed
REV00080,ORD002021,CUST00120,REST0066,1,Worth the money
REV00081,ORD009055,CUST00547,REST0024,1,Very late delivery
REV00082,ORD000953,CUST00106,REST0133,2,Worth the money
REV00083,ORD005360,CUST02066,REST0103,1,Worth the money
REV00084,ORD003858,CUST01171,REST0288,3,Loved it
REV00085,ORD005862,CUST02416,REST0279,3,Average experience
REV00086,ORD003146,CUST01415,REST0100,2,Packaging was poor
REV00087,ORD003306,CUST01932,REST0287,5,Average experience
REV00088,ORD003007,CUST00406,REST0228,3,Loved it
REV00089,ORD009002,CUST02004,REST0170,3,Loved it
REV00090,ORD007771,CUST01052,REST0008,5,Packaging was poor
REV00091,ORD007439,CUST00787,REST0214,4,Not satisfied
REV00092,ORD007943,CUST01125,REST0070,5,Amazing food
REV00093,ORD009239,CUST01279,REST0137,2,Worth the money
REV00094,ORD001057,CUST00074,REST0026,3,Amazing food
REV00095,ORD003155,CUST01394,REST0078,5,Very late delivery
REV00096,ORD003788,CUST02359,REST0136,2,Excellent taste
REV00097,ORD009190,CUST00875,REST0212,4,Loved it
REV00098,ORD007826,CUST01798,REST0097,1,Packaging was poor
REV00099,ORD007540,CUST00415,REST0012,4,Would order again
REV00100,ORD007232,CUST01957,REST0193,2,Very late delivery
REV00101,ORD000765,CUST00112,REST0198,3,Very late delivery
REV00102,ORD005020,CUST01522,REST0197,3,Average experience
REV00103,ORD004904,CUST01173,REST0251,1,Not satisfied
REV00104,ORD008094,CUST02478,REST0001,5,Excellent taste
REV00105,ORD006844,CUST02416,REST0179,2,Very late delivery
REV00106,ORD002166,CUST02223,REST0111,1,Would order again
REV00107,ORD001863,CUST00613,REST0151,4,Amazing food
REV00108,ORD007851,CUST02353,REST0094,3,Not satisfied
REV00109,ORD009124,CUST00310,REST0081,5,Not satisfied
REV00110,ORD002341,CUST00293,REST0211,5,Worth the money
REV00111,ORD005528,CUST00690,REST0122,4,Very late delivery
REV00112,ORD006744,CUST01667,REST0132,1,Amazing food
REV00113,ORD004004,CUST00150,REST0196,3,Would order again
REV00114,ORD001124,CUST00005,REST0028,4,Delivery was delayed
REV00115,ORD008710,CUST00537,REST0231,1,Would order again
REV00116,ORD004050,CUST01494,REST0200,5,Would order again
REV00117,ORD007641,CUST02035,REST0145,2,Would order again
REV00118,ORD000766,CUST00719,REST0112,1,Excellent taste
REV00119,ORD002345,CUST00604,REST0251,1,Very late delivery
REV00120,ORD004072,CUST01825,REST0188,2,Delivery was delayed
REV00121,ORD007217,CUST02119,REST0090,5,Very late delivery
REV00122,ORD004217,CUST01592,REST0170,5,Would order again
REV00123,ORD007953,CUST00184,REST0179,3,Average experience
REV00124,ORD005971,CUST02051,REST0021,3,Would order again
REV00125,ORD003351,CUST00446,REST0206,3,Worth the money
REV00126,ORD004696,CUST00103,REST0190,2,Excellent taste
REV00127,ORD003400,CUST01848,REST0123,3,Loved it
REV00128,ORD004082,CUST01996,REST0209,5,Average experience
REV00129,ORD009150,CUST01976,REST0262,2,Not satisfied
REV00130,ORD001225,CUST01260,REST0132,3,Excellent taste
REV00131,ORD006293,CUST01682,REST0084,1,Excellent taste
REV00132,ORD003123,CUST00173,REST0289,3,Worth the money
REV00133,ORD000511,CUST01975,REST0249,3,Very late delivery
REV00134,ORD005795,CUST01304,REST0038,1,Amazing food
REV00135,ORD008182,CUST01171,REST0247,5,Average experience
REV00136,ORD009418,CUST00091,REST0286,1,Excellent taste
REV00137,ORD000097,CUST01523,REST0289,3,Amazing food
REV00138,ORD006682,CUST02342,REST0035,5,Not satisfied
REV00139,ORD001513,CUST00121,REST0061,2,Worth the money
REV00140,ORD008792,CUST02001,REST0152,5,Packaging was poor
REV00141,ORD000120,CUST00725,REST0068,3,Delivery was delayed
REV00142,ORD007792,CUST01700,REST0113,4,Worth the money
REV00143,ORD006518,CUST00017,REST0141,5,Average experience
REV00144,ORD000034,CUST01201,REST0125,2,Excellent taste
REV00145,ORD007888,CUST01166,REST0228,3,Loved it
REV00146,ORD006831,CUST01343,REST0300,2,Excellent taste
REV00147,ORD005422,CUST02373,REST0038,3,Excellent taste
REV00148,ORD001069,CUST02275,REST0294,5,Not satisfied
REV00149,ORD001348,CUST00883,REST0151,3,Average experience
REV00150,ORD004748,CUST02195,REST0082,2,Delivery was delayed
REV00151,ORD006006,CUST02144,REST0166,2,Would order again
REV00152,ORD006040,CUST01522,REST0201,5,Excellent taste
REV00153,ORD003818,CUST02334,REST0029,3,Amazing food
REV00154,ORD008447,CUST00134,REST0278,1,Worth the money
REV00155,ORD005270,CUST00082,REST0281,2,Amazing food
REV00156,ORD006898,CUST00742,REST0123,5,Average experience
REV00157,ORD005310,CUST00397,REST0208,2,Not satisfied
REV00158,ORD000032,CUST00920,REST0290,4,Average experience
REV00159,ORD005675,CUST00393,REST0151,5,Worth the money
REV00160,ORD004387,CUST02448,REST0179,5,Delivery was delayed
REV00161,ORD000030,CUST00436,REST0109,4,Very late delivery
REV00162,ORD004203,CUST01534,REST0033,5,Loved it
REV00163,ORD007508,CUST01568,REST0177,2,Loved it
REV00164,ORD000736,CUST01209,REST0088,3,Not satisfied
REV00165,ORD002068,CUST02209,REST0183,1,Would order again
REV00166,ORD000107,CUST00689,REST0002,1,Delivery was delayed
REV00167,ORD009645,CUST01408,REST0291,2,Amazing food
REV00168,ORD008895,CUST02351,REST0121,5,Would order again
REV00169,ORD008021,CUST00537,REST0258,2,Would order again
REV00170,ORD002233,CUST01009,REST0204,1,Amazing food
REV00171,ORD000994,CUST01369,REST0178,2,Packaging was poor
REV00172,ORD009413,CUST02336,REST0099,1,Very late delivery
REV00173,ORD007059,CUST01116,REST0285,2,Amazing food
REV00174,ORD006790,CUST01804,REST0077,1,Very late delivery
REV00175,ORD000361,CUST00064,REST0024,2,Worth the money
REV00176,ORD000305,CUST02400,REST0254,4,Packaging was poor
REV00177,ORD002628,CUST02402,REST0047,2,Not satisfied
REV00178,ORD008966,CUST02228,REST0133,5,Loved it
REV00179,ORD004514,CUST01013,REST0035,4,Loved it
REV00180,ORD005911,CUST00319,REST0106,3,Not satisfied
REV00181,ORD008314,CUST01199,REST0293,4,Delivery was delayed
REV00182,ORD003101,CUST02338,REST0200,4,Loved it
REV00183,ORD005704,CUST00334,REST0227,4,Average experience
REV00184,ORD003899,CUST01331,REST0066,2,Would order again
REV00185,ORD005441,CUST02115,REST0046,5,Very late delivery
REV00186,ORD007931,CUST00011,REST0195,3,Packaging was poor
REV00187,ORD000622,CUST00765,REST0255,5,Very late delivery
REV00188,ORD007236,CUST02268,REST0237,2,Worth the money
REV00189,ORD002499,CUST01547,REST0191,1,Not satisfied
REV00190,ORD000714,CUST00343,REST0174,1,Would order again
REV00191,ORD008404,CUST02032,REST0074,2,Delivery was delayed
REV00192,ORD002856,CUST02100,REST0076,1,Excellent taste
REV00193,ORD004270,CUST01834,REST0078,4,Not satisfied
REV00194,ORD002909,CUST01443,REST0215,1,Would order again
REV00195,ORD008081,CUST02204,REST0257,2,Delivery was delayed
REV00196,ORD004517,CUST02469,REST0198,3,Would order again
REV00197,ORD001262,CUST00632,REST0241,3,Delivery was delayed
REV00198,ORD003161,CUST00927,REST0056,5,Would order again
REV00199,ORD000971,CUST01019,REST0023,3,Worth the money
REV00200,ORD003913,CUST00656,REST0259,1,Very late delivery
REV00201,ORD005199,CUST00014,REST0236,1,Delivery was delayed
REV00202,ORD008847,CUST00939,REST0078,4,Amazing food
REV00203,ORD000260,CUST00843,REST0195,5,Not satisfied
REV00204,ORD003791,CUST00456,REST0063,1,Excellent taste
REV00205,ORD009203,CUST00296,REST0281,2,Amazing food
REV00206,ORD000488,CUST01525,REST0240,2,Worth the money
REV00207,ORD007908,CUST02183,REST0169,4,Very late delivery
REV00208,ORD000519,CUST01958,REST0035,3,Very late delivery
REV00209,ORD008343,CUST01602,REST0101,5,Average experience
REV00210,ORD000312,CUST01019,REST0142,1,Amazing food
REV00211,ORD003232,CUST01127,REST0227,3,Amazing food
REV00212,ORD007933,CUST01269,REST0168,3,Would order again
REV00213,ORD007458,CUST01060,REST0270,4,Would order again
REV00214,ORD009784,CUST02410,REST0010,4,Packaging was poor
REV00215,ORD005184,CUST01589,REST0119,5,Not satisfied
REV00216,ORD008077,CUST01867,REST0170,5,Not satisfied
REV00217,ORD006502,CUST01395,REST0129,2,Worth the money
REV00218,ORD006791,CUST00784,REST0289,5,Would order again
REV00219,ORD007773,CUST00729,REST0186,1,Very late delivery
REV00220,ORD002738,CUST01073,REST0060,3,Would order again
REV00221,ORD007842,CUST02294,REST0268,5,Average experience
REV00222,ORD006262,CUST01972,REST0021,5,Amazing food
REV00223,ORD008206,CUST01693,REST0146,3,Average experience
REV00224,ORD001248,CUST02198,REST0188,2,Excellent taste
REV00225,ORD009336,CUST00601,REST0130,5,Amazing food
REV00226,ORD004195,CUST00251,REST0172,3,Would order again
REV00227,ORD008001,CUST01700,REST0079,1,Delivery was delayed
REV00228,ORD007378,CUST01833,REST0085,2,Very late delivery
REV00229,ORD003435,CUST00306,REST0133,5,Not satisfied
REV00230,ORD005382,CUST02122,REST0096,2,Average experience
REV00231,ORD000959,CUST02025,REST0283,3,Amazing food
REV00232,ORD000417,CUST01356,REST0055,1,Delivery was delayed
REV00233,ORD005742,CUST01460,REST0280,5,Worth the money
REV00234,ORD006728,CUST01883,REST0151,1,Excellent taste
REV00235,ORD004382,CUST00609,REST0149,2,Not satisfied
REV00236,ORD005197,CUST02310,REST0225,1,Amazing food
REV00237,ORD001113,CUST00765,REST0040,3,Amazing food
REV00238,ORD002689,CUST00158,REST0258,4,Average experience
REV00239,ORD006473,CUST01637,REST0171,3,Loved it
REV00240,ORD008820,CUST01623,REST0231,1,Average experience
REV00241,ORD007808,CUST02455,REST0094,5,Loved it
REV00242,ORD003411,CUST00501,REST0232,5,Amazing food
REV00243,ORD000081,CUST00796,REST0160,2,Packaging was poor
REV00244,ORD004614,CUST00954,REST0056,1,Packaging was poor
REV00245,ORD001374,CUST01399,REST0027,5,Packaging was poor
REV00246,ORD001510,CUST02117,REST0142,4,Excellent taste
REV00247,ORD006443,CUST01856,REST0014,5,Very late delivery
REV00248,ORD003071,CUST00906,REST0234,2,Amazing food
REV00249,ORD003016,CUST02051,REST0004,1,Worth the money
REV00250,ORD004823,CUST01588,REST0043,1,Average experience
REV00251,ORD007822,CUST00727,REST0095,1,Not satisfied
REV00252,ORD000093,CUST00318,REST0193,5,Would order again
REV00253,ORD009421,CUST01711,REST0003,3,Not satisfied
REV00254,ORD006600,CUST01246,REST0137,3,Average experience
REV00255,ORD004443,CUST00383,REST0054,1,Loved it
REV00256,ORD007602,CUST00807,REST0184,1,Packaging was poor
REV00257,ORD003835,CUST00528,REST0145,3,Very late delivery
REV00258,ORD009702,CUST01831,REST0207,1,Worth the money
REV00259,ORD004322,CUST00850,REST0284,5,Amazing food
REV00260,ORD003394,CUST01483,REST0200,4,Very late delivery
REV00261,ORD004752,CUST01494,REST0055,4,Not satisfied
REV00262,ORD007229,CUST01051,REST0207,1,Loved it
REV00263,ORD009191,CUST00992,REST0091,3,Packaging was poor
REV00264,ORD002361,CUST00992,REST0149,4,Very late delivery
REV00265,ORD001148,CUST01558,REST0135,1,Delivery was delayed
REV00266,ORD005666,CUST01497,REST0027,4,Amazing food
REV00267,ORD008075,CUST01522,REST0064,4,Delivery was delayed
REV00268,ORD004943,CUST00870,REST0077,5,Delivery was delayed
REV00269,ORD003663,CUST02439,REST0270,4,Amazing food
REV00270,ORD001563,CUST00344,REST0168,2,Excellent taste
REV00271,ORD004113,CUST02081,REST0022,5,Not satisfied
REV00272,ORD009050,CUST00451,REST0042,1,Worth the money
REV00273,ORD009276,CUST02430,REST0024,4,Very late delivery
REV00274,ORD008538,CUST00943,REST0034,4,Average experience
REV00275,ORD000795,CUST01144,REST0042,2,Worth the money
REV00276,ORD005854,CUST00360,REST0159,4,Loved it
REV00277,ORD007619,CUST01048,REST0229,3,Average experience
REV00278,ORD001594,CUST00137,REST0116,5,Very late delivery
REV00279,ORD007418,CUST00856,REST0187,1,Excellent taste
REV00280,ORD005267,CUST01044,REST0256,2,Loved it
REV00281,ORD007147,CUST02012,REST0079,5,Would order again
REV00282,ORD000089,CUST02321,REST0120,1,Delivery was delayed
REV00283,ORD008695,CUST01154,REST0243,5,Delivery was delayed
REV00284,ORD009732,CUST00286,REST0098,2,Very late delivery
REV00285,ORD009446,CUST01295,REST0057,5,Excellent taste
REV00286,ORD006754,CUST01358,REST0226,3,Worth the money
REV00287,ORD003502,CUST01860,REST0252,3,Delivery was delayed
REV00288,ORD002234,CUST01783,REST0248,4,Delivery was delayed
REV00289,ORD002803,CUST02216,REST0266,4,Loved it
REV00290,ORD004424,CUST00517,REST0093,4,Not satisfied
REV00291,ORD005663,CUST02276,REST0090,1,Excellent taste
REV00292,ORD007170,CUST00229,REST0201,3,Very late delivery
REV00293,ORD008337,CUST00745,REST0140,1,Delivery was delayed
REV00294,ORD002148,CUST02041,REST0066,4,Not satisfied
REV00295,ORD007969,CUST01686,REST0092,1,Very late delivery
REV00296,ORD006551,CUST01335,REST0034,3,Packaging was poor
REV00297,ORD007643,CUST01581,REST0262,3,Amazing food
REV00298,ORD006164,CUST00054,REST0149,3,Worth the money
REV00299,ORD001495,CUST00840,REST0159,3,Worth the money
REV00300,ORD007696,CUST01919,REST0209,4,Not satisfied
REV00301,ORD007094,CUST00726,REST0207,5,Delivery was delayed
REV00302,ORD001409,CUST01530,REST0064,5,Delivery was delayed
REV00303,ORD006691,CUST00007,REST0248,5,Average experience
REV00304,ORD003401,CUST00964,REST0191,4,Loved it
REV00305,ORD000109,CUST02096,REST0226,4,Not satisfied
REV00306,ORD005636,CUST01458,REST0231,5,Amazing food
REV00307,ORD008482,CUST00560,REST0188,1,Average experience
REV00308,ORD006604,CUST00853,REST0003,5,Worth the money
REV00309,ORD001091,CUST02417,REST0188,5,Very late delivery
REV00310,ORD005560,CUST01619,REST0157,4,Amazing food
REV00311,ORD009412,CUST01687,REST0261,3,Very late delivery
REV00312,ORD008143,CUST01677,REST0217,2,Average experience
REV00313,ORD008664,CUST00729,REST0037,5,Delivery was delayed
REV00314,ORD006596,CUST02262,REST0263,3,Amazing food
REV00315,ORD000624,CUST01704,REST0048,3,Not satisfied
REV00316,ORD006871,CUST00667,REST0180,4,Amazing food
REV00317,ORD004814,CUST00545,REST0037,2,Loved it
REV00318,ORD006553,CUST02187,REST0105,2,Would order again
REV00319,ORD007530,CUST00121,REST0234,1,Amazing food
REV00320,ORD005796,CUST00836,REST0093,2,Very late delivery
REV00321,ORD007437,CUST00510,REST0213,1,Very late delivery
REV00322,ORD004218,CUST01133,REST0294,3,Excellent taste
REV00323,ORD005941,CUST00837,REST0069,4,Average experience
REV00324,ORD008501,CUST00989,REST0177,1,Very late delivery
REV00325,ORD006429,CUST01166,REST0023,5,Packaging was poor
REV00326,ORD006827,CUST02095,REST0208,1,Average experience
REV00327,ORD004131,CUST02362,REST0126,5,Would order again
REV00328,ORD007802,CUST00993,REST0066,5,Amazing food
REV00329,ORD007754,CUST00836,REST0163,5,Worth the money
REV00330,ORD004722,CUST02219,REST0080,3,Excellent taste
REV00331,ORD001651,CUST02052,REST0173,4,Amazing food
REV00332,ORD004141,CUST00392,REST0145,5,Would order again
REV00333,ORD001618,CUST02063,REST0184,2,Worth the money
REV00334,ORD002030,CUST02359,REST0001,1,Very late delivery
REV00335,ORD008518,CUST00870,REST0077,2,Amazing food
REV00336,ORD004576,CUST00394,REST0008,2,Worth the money
REV00337,ORD003993,CUST00864,REST0011,2,Not satisfied
REV00338,ORD007377,CUST00775,REST0009,2,Excellent taste
REV00339,ORD006150,CUST00244,REST0208,3,Amazing food
REV00340,ORD004909,CUST01672,REST0027,2,Excellent taste
REV00341,ORD005027,CUST01309,REST0194,4,Very late delivery
REV00342,ORD008261,CUST01989,REST0063,2,Packaging was poor
REV00343,ORD004732,CUST01537,REST0172,5,Would order again
REV00344,ORD007549,CUST00313,REST0224,3,Average experience
REV00345,ORD008135,CUST00662,REST0032,2,Average experience
REV00346,ORD001607,CUST02430,REST0082,5,Very late delivery
REV00347,ORD004774,CUST02066,REST0111,2,Very late delivery
REV00348,ORD008110,CUST01099,REST0062,5,Delivery was delayed
REV00349,ORD006952,CUST00470,REST0281,3,Average experience
REV00350,ORD006005,CUST01914,REST0207,2,Excellent taste
REV00351,ORD007729,CUST00261,REST0018,1,Excellent taste
REV00352,ORD003542,CUST02339,REST0160,3,Not satisfied
REV00353,ORD000389,CUST01489,REST0238,4,Amazing food
REV00354,ORD001795,CUST01963,REST0109,4,Delivery was delayed
REV00355,ORD008732,CUST01269,REST0174,1,Average experience
REV00356,ORD004920,CUST01580,REST0252,4,Delivery was delayed
REV00357,ORD005538,CUST01158,REST0025,3,Average experience
REV00358,ORD003873,CUST01695,REST0051,1,Worth the money
REV00359,ORD008869,CUST01493,REST0296,3,Packaging was poor
REV00360,ORD002255,CUST01722,REST0242,3,Delivery was delayed
REV00361,ORD003413,CUST00034,REST0126,5,Packaging was poor
REV00362,ORD005460,CUST01154,REST0218,3,Loved it
REV00363,ORD004956,CUST00566,REST0200,3,Would order again
REV00364,ORD007397,CUST02000,REST0258,5,Average experience
REV00365,ORD005415,CUST00137,REST0060,3,Very late delivery
REV00366,ORD007400,CUST01868,REST0189,3,Average experience
REV00367,ORD007415,CUST00981,REST0229,5,Loved it
REV00368,ORD009101,CUST00146,REST0114,1,Amazing food
REV00369,ORD004852,CUST01042,REST0070,3,Loved it
REV00370,ORD002026,CUST02291,REST0013,2,Worth the money
REV00371,ORD002616,CUST01421,REST0090,4,Not satisfied
REV00372,ORD007389,CUST02355,REST0215,4,Packaging was poor
REV00373,ORD002927,CUST00516,REST0237,4,Amazing food
REV00374,ORD001122,CUST02384,REST0246,4,Packaging was poor
REV00375,ORD002911,CUST02211,REST0025,1,Very late delivery
REV00376,ORD008147,CUST01826,REST0222,4,Not satisfied
REV00377,ORD007384,CUST02157,REST0161,5,Worth the money
REV00378,ORD003483,CUST00574,REST0265,1,Amazing food
REV00379,ORD000796,CUST00726,REST0268,5,Excellent taste
REV00380,ORD001576,CUST00795,REST0229,5,Worth the money
REV00381,ORD006177,CUST01823,REST0129,4,Loved it
REV00382,ORD006267,CUST02416,REST0096,2,Packaging was poor
REV00383,ORD002459,CUST00677,REST0174,2,Loved it
REV00384,ORD003313,CUST00758,REST0002,3,Not satisfied
REV00385,ORD001254,CUST01869,REST0187,4,Loved it
REV00386,ORD006835,CUST00906,REST0152,2,Would order again
REV00387,ORD008795,CUST00571,REST0197,3,Very late delivery
REV00388,ORD003838,CUST01709,REST0037,1,Delivery was delayed
REV00389,ORD004399,CUST02309,REST0110,1,Amazing food
REV00390,ORD003596,CUST02213,REST0064,4,Excellent taste
REV00391,ORD006622,CUST01455,REST0203,1,Excellent taste
REV00392,ORD008383,CUST01668,REST0187,1,Packaging was poor
REV00393,ORD002125,CUST01914,REST0098,5,Worth the money
REV00394,ORD003239,CUST01945,REST0114,2,Worth the money
REV00395,ORD005404,CUST01272,REST0016,4,Worth the money
REV00396,ORD005999,CUST00890,REST0017,5,Packaging was poor
REV00397,ORD005939,CUST01877,REST0151,4,Excellent taste
REV00398,ORD002046,CUST00083,REST0072,5,Loved it
REV00399,ORD001579,CUST01775,REST0124,2,Would order again
REV00400,ORD000015,CUST02126,REST0134,5,Not satisfied
REV00401,ORD002674,CUST00471,REST0093,4,Amazing food
REV00402,ORD007017,CUST00193,REST0015,3,Worth the money
REV00403,ORD008721,CUST01625,REST0075,1,Would order again
REV00404,ORD008850,CUST01441,REST0037,5,Loved it
REV00405,ORD004813,CUST01267,REST0199,2,Excellent taste
REV00406,ORD001085,CUST01520,REST0120,2,Delivery was delayed
REV00407,ORD004984,CUST00811,REST0073,4,Not satisfied
REV00408,ORD007156,CUST00783,REST0278,1,Packaging was poor
REV00409,ORD002885,CUST02123,REST0191,5,Loved it
REV00410,ORD000334,CUST02206,REST0156,3,Very late delivery
REV00411,ORD007205,CUST00705,REST0030,3,Loved it
REV00412,ORD004368,CUST00351,REST0256,4,Not satisfied
REV00413,ORD003080,CUST00844,REST0294,3,Amazing food
REV00414,ORD007204,CUST01372,REST0049,5,Would order again
REV00415,ORD009910,CUST00947,REST0099,5,Average experience
REV00416,ORD008865,CUST01276,REST0182,1,Loved it
REV00417,ORD000264,CUST01721,REST0205,5,Worth the money
REV00418,ORD004338,CUST02153,REST0233,5,Not satisfied
REV00419,ORD008896,CUST00145,REST0281,1,Average experience
REV00420,ORD008448,CUST00730,REST0127,5,Amazing food
REV00421,ORD005904,CUST00595,REST0245,4,Delivery was delayed
REV00422,ORD001499,CUST00314,REST0227,4,Very late delivery
REV00423,ORD004191,CUST00317,REST0200,3,Would order again
REV00424,ORD007486,CUST01407,REST0141,3,Loved it
REV00425,ORD009644,CUST01339,REST0067,1,Delivery was delayed
REV00426,ORD008311,CUST01552,REST0019,1,Loved it
REV00427,ORD007591,CUST01744,REST0032,4,Amazing food
REV00428,ORD000501,CUST02416,REST0245,1,Very late delivery
REV00429,ORD009156,CUST00525,REST0242,2,Delivery was delayed
REV00430,ORD009415,CUST02213,REST0047,3,Very late delivery
REV00431,ORD003096,CUST02346,REST0016,2,Worth the money
REV00432,ORD004632,CUST01814,REST0005,1,Very late delivery
REV00433,ORD000368,CUST01051,REST0204,4,Packaging was poor
REV00434,ORD004059,CUST00655,REST0282,3,Average experience
REV00435,ORD008175,CUST00472,REST0148,4,Not satisfied
REV00436,ORD004631,CUST02445,REST0069,1,Packaging was poor
REV00437,ORD006071,CUST00317,REST0101,4,Would order again
REV00438,ORD002665,CUST01139,REST0055,4,Worth the money
REV00439,ORD001027,CUST00869,REST0086,3,Not satisfied
REV00440,ORD005909,CUST00355,REST0171,5,Excellent taste
REV00441,ORD005051,CUST00923,REST0116,4,Loved it
REV00442,ORD006329,CUST01699,REST0238,3,Worth the money
REV00443,ORD009734,CUST01414,REST0251,1,Worth the money
REV00444,ORD001692,CUST01129,REST0046,2,Loved it
REV00445,ORD000674,CUST00454,REST0008,5,Loved it
REV00446,ORD005573,CUST00129,REST0091,3,Packaging was poor
REV00447,ORD005767,CUST00383,REST0072,3,Would order again
REV00448,ORD005157,CUST01171,REST0228,1,Would order again
REV00449,ORD000734,CUST01020,REST0265,2,Amazing food
REV00450,ORD003527,CUST01051,REST0031,1,Not satisfied
REV00451,ORD000569,CUST00688,REST0121,3,Worth the money
REV00452,ORD009188,CUST00482,REST0158,4,Average experience
REV00453,ORD002923,CUST01101,REST0225,2,Delivery was delayed
REV00454,ORD007912,CUST00116,REST0133,2,Worth the money
REV00455,ORD001559,CUST02473,REST0065,3,Very late delivery
REV00456,ORD000102,CUST00274,REST0180,3,Packaging was poor
REV00457,ORD003008,CUST00227,REST0298,1,Amazing food
REV00458,ORD007202,CUST00289,REST0200,3,Packaging was poor
