order_id,customer_id,restaurant_id,partner_id,order_date,order_time,order_amount,delivery_fee,discount,final_amount,payment_id,status,delivery_time_minutes
ORD000027,CUST01522,REST0213,PART0019,2026-01-28,14:43:48,567,61,146,482,PAY000027,Delayed,69
ORD000028,CUST02487,REST0185,PART0086,2025-08-14,22:17:57,443,23,83,383,PAY000028,Delayed,67
ORD000029,CUST00128,REST0083,PART0095,2026-07-06,10:48:45,1113,57,318,852,PAY000029,Delivered,20
ORD000030,CUST00436,REST0109,PART0081,2025-12-03,22:38:39,457,95,6,546,PAY000030,Delivered,80
ORD000031,CUST00881,REST0194,PART0150,2026-03-26,23:16:04,1754,94,352,1496,PAY000031,Delivered,19
ORD000032,CUST00920,REST0290,PART0129,2026-01-20,06:26:19,930,30,39,921,PAY000032,Delivered,88
ORD000033,CUST00497,REST0271,PART0014,2026-03-08,06:50:15,1653,73,275,1451,PAY000033,Cancelled,75
ORD000034,CUST01201,REST0125,PART0085,2025-10-13,16:48:27,701,44,147,598,PAY000034,Delivered,46
ORD000035,CUST00473,REST0124,PART0114,2026-01-06,14:28:36,622,78,80,620,PAY000035,Delivered,67
ORD000036,CUST02072,REST0040,PART0093,2026-05-17,14:40:38,313,65,71,307,PAY000036,Cancelled,76
ORD000037,CUST02333,REST0065,PART0138,2025-12-25,21:45:31,1760,73,235,1598,PAY000037,Delivered,46
ORD000038,CUST00566,REST0134,PART0074,2025-10-13,11:20:27,1530,94,340,1284,PAY000038,Delivered,58
ORD000039,CUST01725,REST0259,PART0038,2026-02-22,08:26:45,391,30,52,369,PAY000039,Delivered,88
ORD000040,CUST01860,REST0008,PART0043,2026-06-02,17:38:36,1445,45,92,1398,PAY000040,Delivered,30
ORD000041,CUST01925,REST0052,PART0033,2026-06-02,07:58:34,689,90,182,597,PAY000041,Delivered,19
ORD000042,CUST00543,REST0264,PART0136,2025-09-02,21:29:51,199,41,4,236,PAY000042,Delivered,64
ORD000043,CUST02282,REST0124,PART0076,2026-07-10,18:05:56,875,36,205,706,PAY000043,Cancelled,30
ORD000044,CUST00442,REST0024,PART0019,2026-02-10,00:44:06,1361,97,315,1143,PAY000044,Delivered,60
ORD000045,CUST01785,REST0149,PART0123,2025-10-19,08:50:04,987,100,230,857,PAY000045,Delivered,32
ORD000046,CUST02087,REST0043,PART0039,2026-05-13,18:48:50,1632,95,469,1258,PAY000046,Delivered,15
ORD000047,CUST01858,REST0195,PART0083,2026-07-04,08:45:45,1364,67,345,1086,PAY000047,Delivered,71
ORD000048,CUST00397,REST0119,PART0077,2025-12-21,13:03:41,1191,95,143,1143,PAY000048,Delivered,78
ORD000049,CUST02152,REST0297,PART0131,2026-04-04,00:54:24,248,92,66,274,PAY000049,Delivered,69
ORD000050,CUST00731,REST0074,PART0011,2026-02-28,08:06:23,811,69,81,799,PAY000050,Delivered,41
ORD000051,CUST01288,REST0051,PART0089,2026-03-31,20:27:15,1213,55,294,974,PAY000051,Delivered,51
ORD000052,CUST01994,REST0225,PART0058,2025-09-07,21:21:05,392,56,35,413,PAY000052,Delivered,36
ORD000053,CUST00435,REST0119,PART0072,2026-03-08,09:53:11,681,97,192,586,PAY000053,Delivered,33
ORD000054,CUST00692,REST0015,PART0011,2025-10-25,07:46:03,573,90,130,533,PAY000054,Delivered,84
ORD000055,CUST02001,REST0014,PART0095,2026-05-21,07:42:25,1786,44,6,1824,PAY000055,Delivered,41
ORD000056,CUST01823,REST0267,PART0033,2025-11-04,15:45:20,1319,74,374,1019,PAY000056,Delivered,73
ORD000057,CUST01771,REST0253,PART0068,2025-11-25,21:28:18,374,35,56,353,PAY000057,Delivered,26
ORD000058,CUST00324,REST0114,PART0020,2025-11-15,03:01:59,720,34,90,664,PAY000058,Delivered,56
ORD000059,CUST01858,REST0263,PART0019,2025-08-31,01:17:46,1188,62,141,1109,PAY000059,Delivered,55
ORD000060,CUST01301,REST0098,PART0143,2025-08-16,21:28:57,1037,32,266,803,PAY000060,Cancelled,19
ORD000061,CUST00902,REST0101,PART0068,2025-12-21,21:18:50,430,95,96,429,PAY000061,Delivered,75
ORD000062,CUST01158,REST0068,PART0051,2025-12-26,18:00:24,1142,43,254,931,PAY000062,Cancelled,26
ORD000063,CUST02285,REST0107,PART0046,2026-01-28,08:58:29,1039,28,251,816,PAY000063,Delivered,19
ORD000064,CUST01558,REST0299,PART0061,2025-09-11,20:58:00,1558,53,314,1297,PAY000064,Delivered,59
ORD000065,CUST00950,REST0150,PART0125,2026-02-24,22:36:38,1236,43,153,1126,PAY000065,Cancelled,77
ORD000066,CUST01211,REST0050,PART0057,2026-01-24,04:04:19,881,89,246,724,PAY000066,Delivered,29
ORD000067,CUST01014,REST0218,PART0030,2026-03-18,22:19:43,1009,77,166,920,PAY000067,Delivered,37
ORD000068,CUST01631,REST0066,PART0124,2026-06-23,13:25:11,803,34,88,749,PAY000068,Cancelled,77
ORD000069,CUST02079,REST0111,PART0105,2026-05-12,07:21:54,209,57,17,249,PAY000069,Cancelled,22
ORD000070,CUST01604,REST0227,PART0109,2025-10-01,04:15:25,1532,60,210,1382,PAY000070,Delivered,66
ORD000071,CUST00897,REST0174,PART0012,2026-06-30,17:12:40,261,54,62,253,PAY000071,Delivered,54
ORD000072,CUST00683,REST0275,PART0053,2025-09-24,02:43:40,989,48,293,744,PAY000072,Delivered,29
ORD000073,CUST02478,REST0277,PART0006,2026-06-21,14:29:06,1400,62,66,1396,PAY000073,Delayed,17
ORD000074,CUST02265,REST0033,PART0013,2026-01-08,14:01:23,334,62,45,351,PAY000074,Delivered,81
ORD000075,CUST00644,REST0275,PART0102,2025-07-22,06:22:35,891,88,101,878,PAY000075,Delivered,44
ORD000076,CUST01358,REST0212,PART0056,2025-09-19,00:12:35,1791,40,382,1449,PAY000076,Delayed,85
ORD000077,CUST02157,REST0053,PART0129,2025-09-01,03:37:32,177,24,1,200,PAY000077,Delivered,65
ORD000078,CUST01235,REST0013,PART0059,2025-12-25,19:39:55,236,40,36,240,PAY000078,Delivered,46
ORD000079,CUST01548,REST0206,PART0034,2025-10-26,12:38:07,707,35,208,534,PAY000079,Delivered,49
ORD000080,CUST01702,REST0011,PART0004,2026-05-09,12:51:29,306,29,64,271,PAY000080,Delivered,84
ORD000081,CUST00796,REST0160,PART0083,2026-02-16,14:50:26,460,32,100,392,PAY000081,Delayed,69
ORD000082,CUST01123,REST0235,PART0052,2026-04-18,12:21:05,1672,22,154,1540,PAY000082,Delivered,27
ORD000083,CUST01543,REST0150,PART0110,2026-07-12,11:11:12,1493,93,241,1345,PAY000083,Delayed,26
ORD000084,CUST01980,REST0146,PART0137,2026-01-14,17:12:25,982,91,142,931,PAY000084,Delivered,79
ORD000085,CUST01613,REST0191,PART0140,2026-04-30,17:41:34,933,22,254,701,PAY000085,Delivered,28
ORD000086,CUST01628,REST0119,PART0115,2025-08-24,11:08:13,608,93,6,695,PAY000086,Delivered,62
ORD000087,CUST01273,REST0171,PART0037,2025-09-03,07:54:22,1303,33,329,1007,PAY000087,Delivered,25
ORD000088,CUST02007,REST0128,PART0022,2026-06-18,21:44:07,1298,41,106,1233,PAY000088,Delivered,33
ORD000089,CUST02321,REST0120,PART0016,2025-07-29,11:24:00,1412,80,267,1225,PAY000089,Delivered,78
ORD000090,CUST00617,REST0019,PART0083,2026-06-05,01:55:01,993,59,172,880,PAY000090,Delivered,87
ORD000091,CUST00857,REST0288,PART0126,2025-12-30,18:54:59,982,20,137,865,PAY000091,Delivered,84
ORD000092,CUST01890,REST0248,PART0132,2025-07-25,12:50:57,791,50,82,759,PAY000092,Delivered,86
ORD000093,CUST00318,REST0193,PART0033,2026-04-10,05:29:31,365,74,89,350,PAY000093,Delivered,16
ORD000094,CUST00809,REST0225,PART0030,2025-09-19,01:44:41,1214,35,85,1164,PAY000094,Delivered,19
ORD000095,CUST02149,REST0250,PART0036,2025-08-13,14:20:18,1164,41,320,885,PAY000095,Delayed,85
ORD000096,CUST00482,REST0223,PART0076,2025-09-05,15:38:31,967,21,151,837,PAY000096,Delivered,49
ORD000097,CUST01523,REST0289,PART0043,2026-02-01,04:58:50,810,98,227,681,PAY000097,Delayed,33
ORD000098,CUST01521,REST0266,PART0065,2026-06-17,21:41:56,1221,46,314,953,PAY000098,Delivered,75
ORD000099,CUST00673,REST0269,PART0122,2026-02-06,19:18:56,581,62,34,609,PAY000099,Cancelled,16
ORD000100,CUST00275,REST0003,PART0080,2026-07-07,23:58:44,517,39,120,436,PAY000100,Delivered,39
ORD000101,CUST01879,REST0170,PART0025,2025-12-13,23:16:40,1571,32,275,1328,PAY000101,Delivered,22
ORD000102,CUST00274,REST0180,PART0144,2026-07-02,10:06:34,1109,96,80,1125,PAY000102,Cancelled,43
ORD000103,CUST01746,REST0300,PART0079,2025-12-27,06:27:36,544,55,72,527,PAY000103,Delayed,62
ORD000104,CUST02299,REST0278,PART0052,2025-11-30,20:44:20,1720,71,260,1531,PAY000104,Delivered,24
ORD000105,CUST01147,REST0092,PART0068,2025-09-03,17:44:23,462,33,55,440,PAY000105,Delivered,87
ORD000106,CUST01569,REST0170,PART0148,2025-12-19,11:39:46,409,86,75,420,PAY000106,Cancelled,90
ORD000107,CUST00689,REST0002,PART0060,2026-04-12,21:38:17,1519,80,107,1492,PAY000107,Delivered,42
ORD000108,CUST00588,REST0085,PART0122,2026-02-17,12:51:22,1795,98,150,1743,PAY000108,Delivered,15
ORD000109,CUST02096,REST0226,PART0109,2025-10-18,00:07:42,309,26,17,318,PAY000109,Cancelled,75
ORD000110,CUST02295,REST0202,PART0097,2026-04-18,17:57:33,1174,35,123,1086,PAY000110,Delivered,64
ORD000111,CUST02174,REST0041,PART0055,2025-11-07,04:24:09,877,59,162,774,PAY000111,Delivered,36
ORD000112,CUST01791,REST0287,PART0114,2025-08-31,11:13:43,1606,38,430,1214,PAY000112,Delivered,77
ORD000113,CUST01784,REST0179,PART0046,2025-11-24,01:04:21,1553,35,285,1303,PAY000113,Delivered,18
ORD000114,CUST01738,REST0110,PART0144,2026-06-29,18:24:41,1901,79,354,1626,PAY000114,Delivered,39
ORD000115,CUST00803,REST0227,PART0093,2026-06-01,12:41:53,916,42,5,953,PAY000115,Delivered,82
ORD000116,CUST01346,REST0049,PART0095,2026-06-30,03:03:25,161,95,19,237,PAY000116,Delivered,47
ORD000117,CUST00138,REST0141,PART0123,2025-11-23,23:30:31,176,97,17,256,PAY000117,Delivered,65
ORD000118,CUST00235,REST0293,PART0008,2026-03-02,22:45:59,1574,52,140,1486,PAY000118,Delivered,75
ORD000119,CUST00712,REST0243,PART0140,2026-03-09,15:49:21,1444,78,251,1271,PAY000119,Delivered,28
ORD000120,CUST00725,REST0068,PART0022,2026-03-12,17:11:46,906,23,78,851,PAY000120,Delivered,68
ORD000121,CUST01288,REST0050,PART0140,2025-08-27,02:17:52,264,76,7,333,PAY000121,Delayed,50
ORD000122,CUST00069,REST0171,PART0082,2026-04-22,16:59:36,1491,98,377,1212,PAY000122,Cancelled,36
ORD000123,CUST00252,REST0034,PART0050,2025-08-02,19:26:16,179,71,26,224,PAY000123,Delivered,79
ORD000124,CUST00707,REST0228,PART0012,2025-08-13,21:12:55,1642,54,42,1654,PAY000124,Delivered,50
ORD000125,CUST00709,REST0002,PART0080,2026-04-29,03:25:34,556,84,104,536,PAY000125,Delivered,50
ORD000126,CUST01910,REST0291,PART0023,2026-07-08,19:33:32,868,35,174,729,PAY000126,Delivered,87
ORD000127,CUST00748,REST0045,PART0048,2025-12-01,02:14:12,330,34,11,353,PAY000127,Delivered,55
ORD000128,CUST00694,REST0006,PART0056,2026-01-06,13:47:59,1433,22,392,1063,PAY000128,Delivered,62
ORD000129,CUST00783,REST0068,PART0080,2026-07-04,21:53:27,316,51,39,328,PAY000129,Delayed,21
ORD000130,CUST01143,REST0072,PART0145,2025-12-22,00:46:50,1595,56,91,1560,PAY000130,Delivered,55
ORD000131,CUST00817,REST0091,PART0076,2026-03-18,05:34:20,612,44,69,587,PAY000131,Delayed,48
ORD000132,CUST01455,REST0297,PART0094,2026-01-06,21:48:01,691,31,125,597,PAY000132,Delayed,59
ORD000133,CUST00151,REST0300,PART0099,2026-04-29,21:35:34,1070,100,87,1083,PAY000133,Cancelled,34
ORD000134,CUST01402,REST0258,PART0142,2026-06-05,10:44:07,860,56,106,810,PAY000134,Delivered,49
ORD000135,CUST00894,REST0240,PART0067,2026-01-01,10:43:06,1201,46,132,1115,PAY000135,Cancelled,19
ORD000136,CUST01947,REST0072,PART0120,2025-11-05,14:10:50,1498,100,95,1503,PAY000136,Delivered,90
ORD000137,CUST02411,REST0018,PART0083,2026-05-06,11:41:44,912,92,193,811,PAY000137,Delivered,28
ORD000138,CUST01727,REST0244,PART0086,2026-01-17,12:44:33,1930,21,162,1789,PAY000138,Delivered,58
ORD000139,CUST00667,REST0240,PART0140,2026-04-14,03:19:28,533,65,78,520,PAY000139,Delivered,38
ORD000140,CUST02432,REST0295,PART0112,2025-09-06,12:24:23,1049,98,233,914,PAY000140,Delayed,66
ORD000141,CUST01529,REST0173,PART0124,2026-04-27,01:58:38,1858,51,258,1651,PAY000141,Delivered,66
ORD000142,CUST00442,REST0216,PART0110,2025-09-25,11:40:37,232,49,64,217,PAY000142,Delivered,49
ORD000143,CUST00672,REST0263,PART0043,2026-04-23,07:14:03,970,95,14,1051,PAY000143,Delivered,53
ORD000144,CUST02327,REST0072,PART0034,2026-05-09,17:00:59,1578,87,101,1564,PAY000144,Delivered,57
ORD000145,CUST00580,REST0178,PART0118,2026-03-02,04:52:19,335,59,98,296,PAY000145,Cancelled,65
ORD000146,CUST00705,REST0155,PART0079,2026-07-07,02:43:01,151,38,12,177,PAY000146,Cancelled,25
ORD000147,CUST00370,REST0126,PART0040,2026-05-30,17:44:04,1906,46,447,1505,PAY000147,Delayed,86
ORD000148,CUST01412,REST0052,PART0121,2026-07-14,23:44:11,160,81,10,231,PAY000148,Delivered,85
ORD000149,CUST01935,REST0193,PART0119,2026-01-30,01:30:05,1581,47,467,1161,PAY000149,Delivered,46
ORD000150,CUST00547,REST0205,PART0084,2025-08-17,18:45:59,943,36,162,817,PAY000150,Delivered,51
ORD000151,CUST00294,REST0178,PART0126,2025-09-13,08:55:27,1372,70,273,1169,PAY000151,Delivered,90
ORD000152,CUST00964,REST0189,PART0093,2026-06-29,01:22:52,604,97,45,656,PAY000152,Delivered,58
ORD000153,CUST00317,REST0118,PART0036,2025-07-19,06:20:30,1835,20,407,1448,PAY000153,Delivered,78
ORD000154,CUST01784,REST0048,PART0087,2026-03-03,18:06:34,240,47,38,249,PAY000154,Delivered,64
ORD000155,CUST01275,REST0199,PART0124,2026-03-03,13:24:09,1021,39,145,915,PAY000155,Delivered,19
ORD000156,CUST01632,REST0265,PART0028,2025-12-06,21:15:59,1013,42,83,972,PAY000156,Delivered,74
ORD000157,CUST00051,REST0083,PART0082,2026-04-03,23:03:40,859,32,207,684,PAY000157,Delivered,31
ORD000158,CUST01863,REST0006,PART0125,2026-03-25,10:40:58,1188,69,351,906,PAY000158,Delivered,66
ORD000159,CUST01741,REST0133,PART0030,2026-01-08,08:58:17,1729,26,310,1445,PAY000159,Delivered,72
ORD000160,CUST02192,REST0187,PART0029,2025-12-10,13:49:09,913,80,171,822,PAY000160,Delivered,37
ORD000161,CUST00328,REST0077,PART0002,2025-11-17,16:28:48,1238,69,345,962,PAY000161,Delivered,58
ORD000162,CUST01864,REST0223,PART0013,2026-01-02,13:43:10,678,45,131,592,PAY000162,Delivered,74
ORD000163,CUST01886,REST0188,PART0013,2025-09-22,20:57:46,231,35,62,204,PAY000163,Delayed,62
ORD000164,CUST00097,REST0278,PART0069,2026-01-29,18:54:49,1021,63,151,933,PAY000164,Delivered,37
ORD000165,CUST01830,REST0167,PART0077,2026-04-22,20:17:21,880,73,8,945,PAY000165,Delivered,19
ORD000166,CUST00150,REST0273,PART0102,2026-03-01,15:06:10,378,65,93,350,PAY000166,Delivered,46
ORD000167,CUST00517,REST0075,PART0127,2025-11-01,17:03:09,322,88,12,398,PAY000167,Delayed,70
ORD000168,CUST02145,REST0292,PART0118,2026-05-12,10:43:59,857,78,124,811,PAY000168,Delivered,20
ORD000169,CUST00602,REST0052,PART0098,2025-08-22,20:57:08,818,67,9,876,PAY000169,Delivered,80
ORD000170,CUST01642,REST0012,PART0048,2025-10-14,10:38:42,841,58,108,791,PAY000170,Delivered,47
ORD000171,CUST00785,REST0293,PART0067,2025-11-08,17:16:52,1863,75,119,1819,PAY000171,Delivered,53
ORD000172,CUST00201,REST0192,PART0147,2026-01-23,19:37:13,1202,89,124,1167,PAY000172,Delivered,75
ORD000173,CUST00761,REST0142,PART0129,2025-11-25,17:14:05,1707,75,281,1501,PAY000173,Delivered,20
ORD000174,CUST01117,REST0003,PART0105,2025-08-03,23:52:05,966,43,145,864,PAY000174,Delivered,41
ORD000175,CUST01126,REST0137,PART0119,2026-02-20,07:52:37,1751,73,132,1692,PAY000175,Delivered,55
ORD000176,CUST01330,REST0114,PART0017,2026-02-02,06:53:50,603,48,4,647,PAY000176,Delivered,51
ORD000177,CUST02439,REST0169,PART0139,2026-06-29,17:14:57,1843,78,430,1491,PAY000177,Delivered,64
ORD000178,CUST01396,REST0164,PART0089,2026-02-05,04:57:05,1292,21,175,1138,PAY000178,Delivered,71
ORD000179,CUST02181,REST0088,PART0100,2026-02-26,10:10:57,1096,83,107,1072,PAY000179,Delivered,47
ORD000180,CUST01993,REST0288,PART0089,2026-01-29,14:49:09,216,93,10,299,PAY000180,Delivered,25
ORD000181,CUST01246,REST0150,PART0081,2026-06-09,01:03:06,1681,87,189,1579,PAY000181,Delivered,72
ORD000182,CUST01441,REST0290,PART0111,2026-07-11,15:47:05,210,39,21,228,PAY000182,Delivered,68
ORD000183,CUST02011,REST0121,PART0097,2025-12-28,22:49:35,1688,56,284,1460,PAY000183,Delivered,83
ORD000184,CUST00398,REST0203,PART0056,2025-11-04,00:34:54,925,97,63,959,PAY000184,Delivered,42
ORD000185,CUST00652,REST0206,PART0141,2025-11-18,14:30:24,1318,57,91,1284,PAY000185,Delivered,67
ORD000186,CUST02455,REST0143,PART0082,2025-12-12,09:33:46,1688,47,214,1521,PAY000186,Cancelled,61
ORD000187,CUST01607,REST0116,PART0104,2025-11-16,23:09:24,1178,88,272,994,PAY000187,Delivered,78
ORD000188,CUST00728,REST0205,PART0074,2026-05-06,08:20:29,736,77,40,773,PAY000188,Delivered,15
ORD000189,CUST00706,REST0051,PART0099,2025-09-23,12:44:52,1849,62,475,1436,PAY000189,Delivered,89
ORD000190,CUST00119,REST0115,PART0036,2025-09-09,20:28:50,1006,72,96,982,PAY000190,Delayed,79
ORD000191,CUST01675,REST0012,PART0084,2025-08-01,12:38:56,1377,93,374,1096,PAY000191,Delivered,46
ORD000192,CUST00373,REST0190,PART0006,2026-05-28,08:42:08,1315,100,241,1174,PAY000192,Delivered,64
ORD000193,CUST01876,REST0189,PART0062,2026-04-27,13:00:00,1197,44,82,1159,PAY000193,Delayed,37
ORD000194,CUST00544,REST0151,PART0017,2026-06-23,22:12:30,1609,45,165,1489,PAY000194,Delayed,18
ORD000195,CUST01004,REST0228,PART0062,2026-04-26,03:03:53,1332,79,235,1176,PAY000195,Delivered,37
ORD000196,CUST01357,REST0082,PART0063,2025-10-06,01:28:41,1174,34,309,899,PAY000196,Delivered,74
ORD000197,CUST01665,REST0267,PART0121,2025-12-30,10:41:37,164,24,43,145,PAY000197,Delivered,64
ORD000198,CUST02201,REST0062,PART0137,2026-02-02,20:28:50,1753,73,266,1560,PAY000198,Delivered,18
ORD000199,CUST01632,REST0021,PART0094,2025-11-01,07:19:40,1134,27,149,1012,PAY000199,Cancelled,66
ORD000200,CUST00598,REST0135,PART0149,2026-02-24,14:27:53,1762,35,106,1691,PAY000200,Delivered,29
ORD000201,CUST00582,REST0125,PART0124,2026-06-22,20:06:23,900,72,173,799,PAY000201,Delivered,41
ORD000202,CUST00304,REST0235,PART0126,2026-03-12,06:27:28,348,62,82,328,PAY000202,Delivered,46
ORD000203,CUST01355,REST0231,PART0067,2025-11-15,07:54:30,851,57,227,681,PAY000203,Cancelled,87
ORD000204,CUST02138,REST0148,PART0007,2025-08-23,20:53:14,223,37,18,242,PAY000204,Delivered,43
ORD000205,CUST01193,REST0158,PART0041,2025-11-28,03:17:15,1304,66,365,1005,PAY000205,Delivered,87
ORD000206,CUST00633,REST0066,PART0038,2025-11-03,20:14:09,1123,76,150,1049,PAY000206,Delivered,52
ORD000207,CUST00867,REST0299,PART0078,2025-09-18,13:13:34,676,49,7,718,PAY000207,Delayed,33
ORD000208,CUST02084,REST0265,PART0104,2025-08-31,06:46:05,174,53,23,204,PAY000208,Delivered,76
ORD000209,CUST00639,REST0257,PART0081,2025-11-05,00:41:04,1993,41,352,1682,PAY000209,Delivered,81
ORD000210,CUST02152,REST0247,PART0045,2025-10-30,14:14:41,924,82,86,920,PAY000210,Cancelled,76
ORD000211,CUST00921,REST0159,PART0053,2026-01-21,05:33:56,1519,28,175,1372,PAY000211,Delivered,43
ORD000212,CUST00490,REST0101,PART0092,2026-01-02,16:47:33,719,97,199,617,PAY000212,Delivered,78
ORD000213,CUST02147,REST0117,PART0052,2025-10-11,02:12:21,1316,21,382,955,PAY000213,Delayed,61
ORD000214,CUST01350,REST0260,PART0018,2026-06-25,01:50:39,966,100,50,1016,PAY000214,Cancelled,49
ORD000215,CUST01016,REST0126,PART0066,2025-09-19,23:58:33,1064,92,267,889,PAY000215,Delivered,38
ORD000216,CUST00165,REST0137,PART0142,2025-11-05,06:36:33,617,78,45,650,PAY000216,Delivered,50
ORD000217,CUST00261,REST0068,PART0134,2026-07-15,23:48:57,1671,44,375,1340,PAY000217,Delayed,53
ORD000218,CUST02399,REST0298,PART0123,2026-07-07,15:18:40,575,49,62,562,PAY000218,Delivered,74
ORD000219,CUST00300,REST0101,PART0123,2025-10-24,23:50:44,1249,26,163,1112,PAY000219,Delayed,29
ORD000220,CUST00410,REST0278,PART0056,2026-03-08,15:42:27,320,80,25,375,PAY000220,Delivered,77
ORD000221,CUST01761,REST0058,PART0114,2026-05-04,20:37:48,1315,21,297,1039,PAY000221,Delivered,39
ORD000222,CUST00003,REST0129,PART0105,2025-08-26,10:53:48,1800,98,467,1431,PAY000222,Delivered,49
ORD000223,CUST02078,REST0248,PART0132,2026-07-10,06:54:15,1442,42,168,1316,PAY000223,Delivered,51
ORD000224,CUST01398,REST0141,PART0144,2025-10-14,05:09:20,691,88,63,716,PAY000224,Delivered,79
ORD000225,CUST00747,REST0250,PART0002,2026-04-01,01:24:12,1431,76,57,1450,PAY000225,Delivered,55
ORD000226,CUST00733,REST0034,PART0111,2025-11-01,10:47:59,1113,83,83,1113,PAY000226,Delivered,53
ORD000227,CUST02207,REST0094,PART0050,2025-09-09,00:02:10,1915,76,350,1641,PAY000227,Delivered,28
ORD000228,CUST01251,REST0164,PART0136,2025-08-22,12:21:11,586,59,128,517,PAY000228,Delivered,75
ORD000229,CUST00862,REST0293,PART0040,2025-10-04,13:42:34,1552,58,312,1298,PAY000229,Delivered,56
ORD000230,CUST00647,REST0081,PART0084,2026-02-15,16:19:41,543,70,43,570,PAY000230,Delivered,81
ORD000231,CUST01708,REST0138,PART0059,2026-06-06,23:52:52,1488,96,403,1181,PAY000231,Delivered,48
ORD000232,CUST00594,REST0157,PART0086,2026-01-29,19:12:09,1903,58,379,1582,PAY000232,Delivered,60
ORD000233,CUST02308,REST0202,PART0107,2026-05-05,09:38:28,1071,59,217,913,PAY000233,Delivered,15
ORD000234,CUST00574,REST0234,PART0071,2025-09-19,19:36:38,263,72,45,290,PAY000234,Delivered,17
ORD000235,CUST01530,REST0013,PART0083,2025-07-26,20:42:48,577,52,75,554,PAY000235,Cancelled,69
ORD000236,CUST00817,REST0111,PART0129,2026-03-05,15:12:19,1292,91,378,1005,PAY000236,Delayed,71
ORD000237,CUST00658,REST0167,PART0123,2026-07-01,18:05:11,368,29,31,366,PAY000237,Delivered,90
ORD000238,CUST01024,REST0144,PART0097,2025-07-31,16:14:33,244,69,62,251,PAY000238,Delivered,22
ORD000239,CUST02204,REST0190,PART0113,2026-06-27,03:11:59,264,63,35,292,PAY000239,Delivered,51
ORD000240,CUST01330,REST0212,PART0039,2026-02-10,21:22:11,1116,37,37,1116,PAY000240,Delayed,34
ORD000241,CUST02302,REST0046,PART0113,2026-02-10,03:31:54,762,93,51,804,PAY000241,Delivered,46
ORD000242,CUST01068,REST0286,PART0136,2026-05-22,12:56:13,1322,89,390,1021,PAY000242,Delivered,52
ORD000243,CUST01480,REST0229,PART0055,2025-09-30,00:33:36,437,28,80,385,PAY000243,Delivered,38
